village_code,hhid,time,cash,income_pc,elder,hhsize
10203020,74,0,1,68.24248,1,5
10203020,74,1,1,71.78595,1,8
10204010,75,0,0,71.21259,0,3
10204010,75,1,0,66.8504,0,4
10204010,76,0,0,54.99218,1,1
10204010,76,1,0,29.6838,1,1
10204010,77,0,0,18.60816,1,1
10204010,77,1,0,148.419,1,1
10204010,78,0,0,108.7172,1,1
10204010,78,1,0,77.30157,1,1
10204016,79,0,0,71.23712,1,5
10204016,79,1,0,50.70983,1,4
10204016,80,0,0,238.7791,0,8
10204016,80,1,0,1689.374,0,6
10204016,81,0,0,131.9388,0,2
10204016,81,1,0,128.6298,0,1
10204017,82,0,1,60.18884,0,5
10204017,82,1,1,352.412,0,4
10204017,83,0,1,66.72605,1,5
10204017,83,1,1,155.677,1,4
10204017,84,0,1,217.0884,0,5
10204017,84,1,1,454.4848,0,5
10204018,85,0,1,124.4776,1,1
10204018,85,1,1,5.095719,1,1
10204018,86,0,1,11.80664,1,3
10204018,86,1,1,258.0303,1,3
10204018,87,0,1,47.75156,0,4
10204018,87,1,1,126.8116,0,3
10204018,88,0,1,39.26038,0,5
10204018,88,1,1,62.39189,0,10
10301015,89,0,0,166.957,0,4
10301015,89,1,0,253.1369,0,3
10301015,90,0,0,152.487,0,3
10301015,90,1,0,2075.702,0,4
10301015,91,0,0,15.01098,0,10
10301015,91,1,0,39.77325,0,9
10301016,92,0,0,170.4626,0,6
10301016,92,1,0,146.4485,0,7
10301016,93,0,0,38.74456,0,4
10301016,93,1,0,91.19524,0,3
10301016,94,0,0,39.51424,1,6
10301016,94,1,0,33.88457,1,6
10301017,95,0,1,45.20277,0,8
10301017,95,1,1,254.5737,0,6
10301017,96,0,1,13.1366,0,5
10301017,96,1,1,922.7921,0,7
10301017,97,0,1,61.83181,0,3
10301017,97,1,1,50.91859,0,3
10301017,98,0,1,50.85962,0,4
10301017,98,1,1,452.5254,0,3
10301019,99,0,1,67.0293,0,4
10301019,99,1,1,76.64373,0,4
10301019,100,0,1,82.15226,1,2
10301019,100,1,1,95.54474,1,2
10301019,101,0,1,33.44046,1,5
10301019,101,1,1,22.29377,1,12
10301020,102,0,0,7.585317,1,2
10301020,102,1,0,748.2792,1,2
10301020,103,0,0,58.00163,1,4
10301020,103,1,0,104.4816,1,6
10302010,104,0,0,27.86705,0,6
10302010,104,1,0,148.0727,0,5
10302010,105,0,0,29.02306,0,6
10302010,105,1,0,1467.298,0,6
10302010,106,0,0,180.1335,0,4
10302010,106,1,0,.9894601,0,5
10302010,107,0,0,124.3965,1,3
10302010,107,1,0,28.44698,1,2
10302012,108,0,1,38.43092,0,7
10302012,108,1,1,180.6507,0,1
10302012,109,0,1,58.56572,1,6
10302012,109,1,1,29.05091,1,2
10302012,110,0,1,38.94543,0,8
10302012,110,1,1,114.7276,0,6
10302012,111,0,1,47.76717,0,3
10302012,111,1,1,314.5659,0,3
10302015,112,0,1,73.88974,1,3
10302015,112,1,1,45.22451,1,4
10302015,113,0,1,148.619,1,5
10302015,113,1,1,282.9665,1,3
10302015,114,0,1,75.03983,1,2
10302015,114,1,1,71.22131,1,2
20201012,115,0,0,33.36049,1,4
20201012,115,1,0,.4782391,1,3
20201012,116,0,0,92.2887,0,3
20201012,116,1,0,2387.295,0,3
20201012,117,0,0,55.60597,1,8
20201012,117,1,0,916.0347,1,6
20201014,118,0,1,8.741503,0,8
20201014,118,1,1,146.9547,0,6
20201014,119,0,1,135.6676,0,3
20201014,119,1,1,99.13319,0,3
20201014,120,0,1,350.082,1,1
20201014,120,1,1,177.6445,1,1
